S_No,Zone_Name,Road_Name,Road_Category,Simple_Crashes,Fatal_Crashes,Total_Crashes,Fatality_Rate,Severity_Level,Is_Pedestrian_Zone,Is_Two_Wheeler_Zone,Is_HTV_Zone,Is_Hit_And_Run_Zone,Is_Blackspot
25,Modi Mill Flyover,Outer Ring Road,OUTER RING ROAD,10,5,0,0,HIGH,0,1,0,1,0
26,Punjabi Bagh Chowk,Ring Road,RING ROAD,10,5,0,0,HIGH,0,0,0,1,0
27,Metro Station Shivaji Park,Rohtak Road,ROHTAK ROAD,10,5,0,0,HIGH,0,0,0,1,0
28,Kings Way Camp Chowk,Ring Road,RING ROAD,10,5,0,0,HIGH,0,0,0,1,0
29,Round About Paharganj,Rani Jhansi Road,OTHER,10,5,0,0,HIGH,0,0,0,1,0
30,West Enclave Red Light,Outer Ring Road,OUTER RING ROAD,,5,0,0,HIGH,0,0,0,1,0
31,Azadpur Sabzi Mandi,GTK Road,GTK ROAD,,4,9,0.444,HIGH,0,0,0,1,0
32,Tilak Nagar Flyover,Najafgarh Road,NAJAFGARH ROAD,,4,9,0.444,HIGH,0,0,0,1,0
33,Nathu Colony Chowk Nand Nagri,Road No 68,OTHER,,4,0,0,HIGH,0,0,0,1,0
34,Dabri Flyover,Pankha Road,PANKHA ROAD,,4,0,0,HIGH,1,0,0,1,0
35,Saraswati Vihar Bus Stand,Outer Ring Road,OUTER RING ROAD,13,4,0,0,HIGH,0,0,0,1,0
36,District Center Janakpuri,Najafgarh Road,NAJAFGARH ROAD,13,4,0,0,HIGH,0,1,0,1,0
37,Nangli Poona,GTK Road,GTK ROAD,13,4,0,0,HIGH,1,0,0,1,0
38,CNG Pump/Jain Mandir NH-1,GTK Road,GTK ROAD,,4,0,0,HIGH,0,0,0,1,0
39,Toll Plaza Badarpur,Mathura Road,MATHURA ROAD,,4,0,0,HIGH,0,0,0,1,0
40,Round About Seemapuri,Road No 68,OTHER,,4,0,0,HIGH,1,0,0,1,0
41,Peeragarhi Chowk,Outer Ring Road,OUTER RING ROAD,,4,0,0,HIGH,0,0,0,1,0
42,Khajoori Chowk,Wazirabad Road,WAZIRABAD ROAD,,4,0,0,HIGH,0,0,0,1,0
43,Madhuban Chowk,Outer Ring Road,OUTER RING ROAD,,4,0,0,HIGH,0,0,0,1,0
44,Udyog Nagar,Rohtak Road,ROHTAK ROAD,,4,0,0,HIGH,0,1,0,1,0
45,Wazirabad,Outer Ring Road,OUTER RING ROAD,,4,0,0,HIGH,0,0,0,1,0
46,Mukundpur Chowk,Outer Ring Road,OUTER RING ROAD,,4,0,0,HIGH,0,0,0,1,0
47,Maya Puri Chowk,Ring Road,RING ROAD,,4,0,0,HIGH,0,0,0,1,0
48,Shani Mandir Nh-1,GTK Road,GTK ROAD,,4,0,0,HIGH,0,0,0,1,0
49,Ber Sarai Flyover,Outer Ring Road,OUTER RING ROAD,,4,0,0,HIGH,0,0,1,1,0
50,Sagarpur Bus Stand,Pankha Road,PANKHA ROAD,,4,0,0,HIGH,0,0,0,1,0
51,Kanhiya Nagar Metro Station,VIR Banda Bairagi Mr,OTHER,,4,0,0,HIGH,0,0,0,1,0
52,Metro Station Welcome,G.T.Road,GT ROAD,,4,0,0,HIGH,0,0,0,1,0
53,DTC Bus Depot Nand Nagri,Wazirabad Road,WAZIRABAD ROAD,,4,0,0,HIGH,0,0,1,1,0
54,Sai Baba Mandir Nh-1,GTK Road,GTK ROAD,,4,0,0,HIGH,0,0,0,1,0
55,Lado Sarai Crossing,Mehrauli Badarpur Rd,OTHER,,4,0,0,HIGH,0,0,0,1,0
56,Shaheen Bagh Road No-13a,Road No 13a,OTHER,,4,0,0,HIGH,0,0,0,1,0
57,Tilak Pul Dabri,Pankha Road,PANKHA ROAD,,4,0,0,HIGH,1,0,0,1,0
58,Tikri Khurd Bus Stand,GTK Road,GTK ROAD,,4,0,0,HIGH,0,0,0,1,0
59,Kalkaji Mandir,Outer Ring Road,OUTER RING ROAD,,4,0,0,HIGH,0,0,0,1,0
60,Rajghat,Ring Road,RING ROAD,,4,0,0,HIGH,0,0,0,1,0
61,Deepali Chowk,Outer Ring Road,OUTER RING ROAD,,3,8,0.375,MEDIUM,0,0,0,1,0
62,Metro Station Paschim Vihar,Rohtak Road,ROHTAK ROAD,,3,8,0.375,MEDIUM,0,0,0,1,0
63,ITI Dheerpur,Outer Ring Road,OUTER RING ROAD,,3,0,0,MEDIUM,0,0,0,1,0
64,Nigam Bodh Ghat,Ring Road,RING ROAD,,3,0,0,MEDIUM,1,0,0,1,0
65,Metro Station Inderlok,VIR Banda Bairagi Mr,OTHER,,3,0,0,MEDIUM,0,0,0,1,0
66,Keshopur T Point,Outer Ring Road,OUTER RING ROAD,,3,0,0,MEDIUM,0,0,0,1,0
67,Mundka,Rohtak Road,ROHTAK ROAD,,3,0,0,MEDIUM,0,0,0,1,0
68,Metro Station Ramesh Nagar,Najafgarh Road,NAJAFGARH ROAD,,3,0,0,MEDIUM,0,0,0,1,0
69,RTR Flyover Vasant Vihar,Outer Ring Road,OUTER RING ROAD,,3,0,0,MEDIUM,0,0,0,1,0
70,DSIIDC Red Light NH-1,GTK Road,GTK ROAD,,3,0,0,MEDIUM,0,0,0,1,0
71,Adarsh Nagar,GTK Road,GTK ROAD,,3,0,0,MEDIUM,0,0,0,1,0
72,ARSD College Ring Road,Ring Road,RING ROAD,,3,0,0,MEDIUM,0,0,0,1,0
73,Sarai Kale Khan,Ring Road,RING ROAD,,3,0,0,MEDIUM,0,0,0,1,0
74,Round About Okhla Estate,Anand Mai Marg,OTHER,,3,0,0,MEDIUM,0,0,0,1,0
75,Anand Vihar Railway Flyover,Road No.56,OTHER,,3,0,0,MEDIUM,1,0,0,1,0
76,Vijay Vihar Rohini,Rithala Road,OTHER,,3,0,0,MEDIUM,0,0,0,1,0
77,Delhi Cantt Flyover,Jail Road,OTHER,,3,0,0,MEDIUM,0,0,0,1,0
78,Shakarpur Red Light,Yamuna Pusta Road,PUSTA ROAD,,3,0,0,MEDIUM,0,0,0,1,0
79,Geeta Colony Flyover,Yamuna Pusta Road,PUSTA ROAD,,3,0,0,MEDIUM,0,0,0,1,0
80,Loha Mandi,Girdhari Lal Marg,OTHER,,3,0,0,MEDIUM,0,0,0,1,0
81,Siraspur,GTK Road,GTK ROAD,,3,0,0,MEDIUM,0,0,0,1,0
82,Janak Puri East,Najafgarh Road,NAJAFGARH ROAD,,3,0,0,MEDIUM,0,0,0,1,0
83,Mayur Vihar Extension,Noida Link Road,OTHER,,3,0,0,MEDIUM,0,0,0,1,0
84,Pul Mithai Spm Marg,SPM Marg,OTHER,,3,0,0,MEDIUM,1,0,0,1,0
85,Paper Market Gajipur,Paper Market Road,OTHER,,3,0,0,MEDIUM,0,0,0,1,0
86,Goyla Village Najafgarh,Goyla Dairy Road,OTHER,,3,0,0,MEDIUM,0,0,0,1,0
87,Near Haldi Ram Wazirpur,Ring Road,RING ROAD,,3,0,0,MEDIUM,0,0,0,1,0
88,Surya Nagar Red Light,Road No.56,OTHER,,3,0,0,MEDIUM,0,0,0,1,0
89,IG Indoor Stadium,Ring Road,RING ROAD,,3,0,0,MEDIUM,0,0,0,1,0
90,Seelampur T Point,G.T.Road,GT ROAD,,3,0,0,MEDIUM,0,0,0,1,0
91,Ashram Chowk,Ring Road,RING ROAD,,0,0,0,LOW,0,0,0,1,0
92,Dhaula Kuan,Ring Road,RING ROAD,,0,0,0,LOW,0,0,0,1,0
93,Azadpur Chowk,GTK Road,GTK ROAD,,0,0,0,LOW,0,0,0,1,0
94,Uttam Nagar,Najafgarh Road,NAJAFGARH ROAD,,0,0,0,LOW,0,0,0,1,0
95,Shanti Van,Ring Road,RING ROAD,,0,0,0,LOW,0,0,0,1,0
96,Subhash Nagar Metro Station,Najafgarh Road,NAJAFGARH ROAD,,0,0,0,LOW,0,0,0,1,0
97,Rajoukari Flyover,NH-8,NATIONAL HIGHWAY,,0,0,0,LOW,0,0,0,1,0
98,Mool Chand,Ring Road,RING ROAD,,0,0,0,LOW,0,0,0,1,0
