S_No,Road_Name,Fatal_2019,Fatal_2020,Fatal_2021,Injury_2019,Injury_2020,Injury_2021,Non_Injury_2019,Non_Injury_2020,Non_Injury_2021,Total_2019,Total_2020,Total_2021
73.,Road No 66,0,0,5,10,3,9,0,0,0,10,3,14
74.,Rohtak Road,51,38,46,132,100,89,3,1,1,186,139,136
75.,Roshanara Road,2,2,0,1,2,10,0,0,0,3,4,10
76.,Shanti Path,2,0,,1,2,,0,0,,3,2,
77.,Station Road,2,3,3,7,14,6,1,0,1,10,17,10
78.,Todapur Road(Dps Marg),4,5,8,13,6,8,0,0,0,17,11,16
79.,Vikas Marg,12,7,5,35,20,30,0,0,1,47,27,36
80.,Viveka Nand Marg,3,0,0,7,3,1,0,0,0,10,3,1
81.,Wazirabad Road,35,23,21,79,41,80,0,0,0,114,64,101
82.,Yamuna Pushta Road,10,8,8,20,16,15,0,0,0,30,24,23
83.,Road No 13a,3,3,6,15,9,17,0,0,0,18,12,23
84.,Baba Kharak Singh Marg,4,2,6,7,3,6,0,0,0,11,5,12
85.,Bawana Auchandi Road,1,1,0,0,4,2,0,0,0,1,5,2
86.,Bijwasan Road,5,9,9,10,10,12,0,9,0,15,19,21
87.,Burari Road,9,5,5,16,20,17,0,1,0,25,26,22
88.,Chhawla Road,0,2,0,5,3,3,0,0,0,5,5,3
89.,DDU Marg,1,0,1,2,1,2,0,0,0,3,1,3
90.,Jai Singh Road,,0,0,,0,1,0,0,0,0,0,1
91.,Jail Road,4,1,3,8,4,7,0,0,0,12,5,10
92.,Jaitpur Road,0,1,2,2,3,9,0,0,0,2,4,11
93.,Janpath,0,1,2,8,2,4,0,0,0,8,3,6
94.,Kotla Road,2,2,3,1,1,9,0,0,0,3,3,12
95.,Lodi Road,0,2,0,7,13,6,0,0,0,7,15,6
96.,Maharaja Surajmal Road,,1,0,,0,1,0,0,0,0,1,1
97.,Pusa Road,2,2,1,11,4,12,0,0,0,13,6,13
98.,Pusta Road,13,10,7,57,26,29,0,0,0,70,36,36
99.,Qutab Garh Road,1,4,0,1,4,4,0,0,0,2,8,4
100.,Ramdev Marg,2,0,1,3,2,0,0,0,0,5,2,1
101.,Ridge Road,1,2,3,7,2,3,0,0,0,8,4,6
102.,Sardar Patel Marg,1,3,3,9,3,4,1,0,0,11,6,7
103.,SPM Marg,6,3,-,4,3,-,0,0,-,10,6,-
