District,S_No,Road_Name,Fatal_Crashes_2024,Total_Crashes_2024,Persons_Killed_2024
South,4,Outer Ring Road,3,17,3
South,5,Ring Road,3,14,3
South,6,Lal Bhadur Shastri Marg,3,13,3
South,7,Press Enclave Marg,2,10,2
South,8,Josep Broz Tito Marg,2,4,2
South,9,August Kranti Road,1,7,1
South,10,Bhishm Pitamah Marg,1,7,1
South East,1,Mathura Road,15,71,15
South East,2,Ring Road,12,65,13
South East,3,Mehrauli Badarpur Road,12,24,12
South East,4,Anand Mai Marg,7,37,8
South East,5,13a No Road,6,19,7
South East,6,Agra Canal Road,4,32,4
South East,7,Lala Lajpat Rai Path,4,19,6
South East,8,Okhla Road,4,12,4
South East,9,Ravidass Marg,2,13,2
South East,10,Jaitpur Road,2,6,2
South West,1,NH-8,39,105,42
South West,2,Ring Road,26,55,26
South West,3,201 No. Road,10,37,10
South West,4,Outer Ring Road,6,20,6
South West,5,Bijwasan Road,6,16,7
South West,6,Rao Tula Ram Marg,4,12,4
South West,7,Mahipal Pur Road,3,27,4
South West,8,Nelson Mandela Marg,3,9,3
South West,9,Thimayya Marg,3,4,3
South West,10,Station Road,2,7,2
West,1,Najaf Garh Road,20,91,21
West,2,Ring Road,19,49,20
West,3,Rohtak Road,14,31,14
West,4,Pankha Road,10,34,10
West,5,Jail Road,7,19,7
West,6,Outer Ring Road,6,25,8
West,7,New Rohtak Road,5,6,5
West,8,Rama Road,3,9,3
West,9,Dev Parkash Shastri Road,2,11,2
West,10,Patel Road,2,9,2
