Source_Table,Data_Category,Location_Name,District_Zone,Serial_No,Non_Injury_Crashes_2023,Non_Injury_Crashes_2024,Simple_Crashes_2023,Simple_Crashes_2024,Fatal_Crashes_2023,Fatal_Crashes_2024,Total_Crashes_2023,Total_Crashes_2024,Persons_Injured_2023,Persons_Injured_2024,Persons_Killed_2023,Persons_Killed_2024
Table_6_3,Traffic_Circle,Tughlak Road,,,3,0,12,16,4,4,19,20,18,23,4,4
Table_6_3,Traffic_Circle,Vasant Vihar,,,2,3,102,87,29,31,133,121,136,106,30,34
Table_6_4,Top25_Fatal_Roads,Ring Road,,1,,,,,,116,,346,,,120,
Table_6_4,Top25_Fatal_Roads,Outer Ring Road,,2,,,,,,101,,277,,,105,
Table_6_4,Top25_Fatal_Roads,GTK Road,,3,,,,,,74,,211,,,77,
Table_6_4,Top25_Fatal_Roads,Rohtak Road,,4,,,,,,53,,137,,,54,
Table_6_4,Top25_Fatal_Roads,NH-8,,5,,,,,,39,,105,,,42,
Table_6_4,Top25_Fatal_Roads,Najaf Garh Road,,6,,,,,,33,,138,,,35,
Table_6_4,Top25_Fatal_Roads,NH-24,,7,,,,,,26,,57,,,26,
Table_6_4,Top25_Fatal_Roads,Wazirabad Road,,8,,,,,,25,,86,,,26,
Table_6_4,Top25_Fatal_Roads,Mehrauli Badarpur Road,,9,,,,,,25,,62,,,25,
Table_6_4,Top25_Fatal_Roads,Pusta Road,,10,,,,,,22,,77,,,22,
Table_6_4,Top25_Fatal_Roads,Mathura Road,,11,,,,,,18,,81,,,18,
Table_6_4,Top25_Fatal_Roads,Bawana Road,,12,,,,,,18,,78,,,21,
Table_6_4,Top25_Fatal_Roads,Kanjhawala Road,,13,,,,,,18,,62,,,18,
Table_6_4,Top25_Fatal_Roads,Grand Trunk Road,,14,,,,,,17,,90,,,18,
Table_6_4,Top25_Fatal_Roads,Road No 56,,15,,,,,,17,,48,,,17,
Table_6_4,Top25_Fatal_Roads,Yamuna Pusta Road,,16,,,,,,16,,36,,,16,
Table_6_4,Top25_Fatal_Roads,Narela Road,,17,,,,,,13,,38,,,13,
Table_6_4,Top25_Fatal_Roads,Pankha Road,,18,,,,,,12,,37,,,12,
Table_6_4,Top25_Fatal_Roads,Bhagwan Mahavir Marg,,19,,,,,,12,,26,,,12,
Table_6_4,Top25_Fatal_Roads,New Rohtak Road,,20,,,,,,12,,20,,,12,
Table_6_4,Top25_Fatal_Roads,201 No. Road,,21,,,,,,11,,55,,,11,
Table_6_4,Top25_Fatal_Roads,Patel Road,,22,,,,,,11,,39,,,12,
Table_6_4,Top25_Fatal_Roads,Road No 57,,23,,,,,,9,,37,,,9,
Table_6_4,Top25_Fatal_Roads,Vikas Marg,,24,,,,,,9,,35,,,9,
Table_6_4,Top25_Fatal_Roads,Najafgarh Nangloi Road,,25,,,,,,9,,22,,,9,
Table_6_7,National_Highway,NH-1 (Now NH-44) GT Karnal Road,,,,,,,74,,134,3,,,,211
Table_6_7,National_Highway,NH-10 (Now NH-9) Rohtak Road,,,,,,,53,,84,0,,,,137
Table_6_7,National_Highway,NH-2 (Mathura Road),,,,,,,18,,58,5,,,,81
Table_6_7,National_Highway,NH-24,,,,,,,26,,30,1,,,,57
Table_6_7,National_Highway,NH-58 (GT Road),,,,,,,17,,70,3,,,,90
Table_6_7,National_Highway,NH-8 (Now NH-48),,,,,,,39,,65,1,,,,105
